"","NOHAV","RTNO","SHTWT","RTWT","DM","STARCH","FYLD","DYLD","TYLD","HI","LODG","PLTHT6","BRNHT6","PLTHT9","BRNHT9","BRNLEV9","ANGBR","STMDI"
"NOHAV",1,0.809334115412976,0.479693727139872,0.69001204837707,0.192898464302294,0.192983941418652,0.69001204837707,0.636587955954193,0.479693727139872,0.126421258956407,0.00665968790449601,0.0615910149593328,0.0299526408559032,0.120967406703496,0.142562110940314,-0.00722449319509949,-0.027915803950124,-0.192545164755118
"RTNO",0.809334115412976,1,0.479541569120691,0.788456481267345,0.261985536961567,0.262019639228299,0.788456481267345,0.757782977552298,0.479541569120691,0.228851701053958,-0.109178578382105,0.110530688856109,0.0932840267059696,0.147666702208111,0.0835397128099657,0.0814893638682303,0.0861404804310219,-0.0958306280676758
"SHTWT",0.479693727139872,0.479541569120691,1,0.558609783496999,0.18304342775297,0.18305756357079,0.558609783496999,0.529610409955764,1,-0.525620060391252,0.175529385681215,0.435397586317687,0.175317760705491,0.526309776340414,0.062450536904024,0.0663067939292597,0.203727889983247,0.499315116884858
"RTWT",0.69001204837707,0.788456481267345,0.558609783496999,1,0.244892567045103,0.244931738594118,1,0.969275582976009,0.558609783496999,0.322565382722072,-0.154756816305215,0.177664716681392,0.13874478333794,0.288411995477732,0.0981591321801197,0.0243028838638452,0.172640615333648,0.118714610384128
"DM",0.192898464302294,0.261985536961567,0.18304342775297,0.244892567045103,1,0.999999612028887,0.244892567045103,0.421333451092764,0.18304342775297,-0.0145766273010847,-0.0106866197840927,0.0687567759843693,0.034908567277774,0.0231499336551648,-0.000220648237621604,-0.0958498233905039,0.110906558449608,0.0320694786159754
"STARCH",0.192983941418652,0.262019639228299,0.18305756357079,0.244931738594118,0.999999612028887,1,0.244931738594118,0.421366962750378,0.18305756357079,-0.0145621371504698,-0.0107393572285924,0.0687303306366615,0.0350600412723562,0.0231530176612336,-0.00022634306155707,-0.0958919360299735,0.11094195578191,0.0320953253568222
"FYLD",0.69001204837707,0.788456481267345,0.558609783496999,1,0.244892567045103,0.244931738594118,1,0.969275582976009,0.558609783496999,0.322565382722072,-0.154756816305215,0.177664716681392,0.13874478333794,0.288411995477732,0.0981591321801197,0.0243028838638452,0.172640615333648,0.118714610384128
"DYLD",0.636587955954193,0.757782977552298,0.529610409955764,0.969275582976009,0.421333451092764,0.421366962750378,0.969275582976009,1,0.529610409955764,0.241442160124117,-0.146364023367936,0.145660558974061,0.110403997785035,0.237987383202422,0.0713570670877386,0.0063150428074164,0.17873424459911,0.102903339221681
"TYLD",0.479693727139872,0.479541569120691,1,0.558609783496999,0.18304342775297,0.18305756357079,0.558609783496999,0.529610409955764,1,-0.525620060391252,0.175529385681215,0.435397586317687,0.175317760705491,0.526309776340414,0.062450536904024,0.0663067939292597,0.203727889983247,0.499315116884858
"HI",0.126421258956407,0.228851701053958,-0.525620060391252,0.322565382722072,-0.0145766273010847,-0.0145621371504698,0.322565382722072,0.241442160124117,-0.525620060391252,1,-0.355815393845123,-0.343960795525914,-0.0704712912974981,-0.328334760588037,-0.00524594969289421,-0.0120332657967199,-0.105030864065494,-0.44198987985955
"LODG",0.00665968790449601,-0.109178578382105,0.175529385681215,-0.154756816305215,-0.0106866197840927,-0.0107393572285924,-0.154756816305215,-0.146364023367936,0.175529385681215,-0.355815393845123,1,0.00500243319801252,-0.036717397328222,-0.10076217448084,-0.128749199663173,-0.0591380260872845,0.184986545871377,0.153601684378853
"PLTHT6",0.0615910149593328,0.110530688856109,0.435397586317687,0.177664716681392,0.0687567759843693,0.0687303306366615,0.177664716681392,0.145660558974061,0.435397586317687,-0.343960795525914,0.00500243319801252,1,0.387302548832348,0.818503002089947,0.571591733659198,0.0851106609282436,-0.0466209080582964,0.430968378642577
"BRNHT6",0.0299526408559032,0.0932840267059696,0.175317760705491,0.13874478333794,0.034908567277774,0.0350600412723562,0.13874478333794,0.110403997785035,0.175317760705491,-0.0704712912974981,-0.036717397328222,0.387302548832348,1,0.244533823687802,0.503314501975661,0.0935457843707684,0.431953795219592,0.163704949029174
"PLTHT9",0.120967406703496,0.147666702208111,0.526309776340414,0.288411995477732,0.0231499336551648,0.0231530176612336,0.288411995477732,0.237987383202422,0.526309776340414,-0.328334760588037,-0.10076217448084,0.818503002089947,0.244533823687802,1,0.619669256718316,0.16967656644482,0.00445547121701059,0.474253389569891
"BRNHT9",0.142562110940314,0.0835397128099657,0.062450536904024,0.0981591321801197,-0.000220648237621604,-0.00022634306155707,0.0981591321801197,0.0713570670877386,0.062450536904024,-0.00524594969289421,-0.128749199663173,0.571591733659198,0.503314501975661,0.619669256718316,1,0.111893409213699,-0.223352126439855,0.0331595522514562
"BRNLEV9",-0.00722449319509949,0.0814893638682303,0.0663067939292597,0.0243028838638452,-0.0958498233905039,-0.0958919360299735,0.0243028838638452,0.0063150428074164,0.0663067939292597,-0.0120332657967199,-0.0591380260872845,0.0851106609282436,0.0935457843707684,0.16967656644482,0.111893409213699,1,0.0524808717658017,0.09958285402989
"ANGBR",-0.027915803950124,0.0861404804310219,0.203727889983247,0.172640615333648,0.110906558449608,0.11094195578191,0.172640615333648,0.17873424459911,0.203727889983247,-0.105030864065494,0.184986545871377,-0.0466209080582964,0.431953795219592,0.00445547121701059,-0.223352126439855,0.0524808717658017,1,0.366811516154167
"STMDI",-0.192545164755118,-0.0958306280676758,0.499315116884858,0.118714610384128,0.0320694786159754,0.0320953253568222,0.118714610384128,0.102903339221681,0.499315116884858,-0.44198987985955,0.153601684378853,0.430968378642577,0.163704949029174,0.474253389569891,0.0331595522514562,0.09958285402989,0.366811516154167,1
