"Trait","ENV","BLK_ENV_REP","REP_ENV","GEN","GEN_ENV","Residuals"
"NDVI3",0,0.01,0.17,0,0,0
"NDVI6",0,0.01,0.17,0,0,0.03
"NDVI9",0,0.01,0.17,0,0,0
"HI",0,0.01,0.17,0,0,0
"LODG",2.6,0.01,0.17,6.2,2.6,1.98
"PLTHT3",350.6,0.01,0.17,2101.8,350.6,316.82
"PLTHT6",839.7,0.01,0.17,3541.8,839.7,325.5
"PLTHT9",1281.9,0.01,0.17,4236.4,1281.9,436.79
"ANGBR",2003.2,0.01,0.17,4928.2,2003.2,194.51
"STMDI",30.5,0.01,0.17,63.8,30.5,7.17
"TYLD",245.2,0.01,0.17,356,245.2,86.65
"DYLD",29.7,0.01,0.17,25.3,29.7,6.07
"FYLD",242.4,0.01,0.17,339.3,242.4,56.04
"STARCH",48.4,0.01,0.17,54,48.4,4.01
"DM",27.3,0.01,0.17,30.5,27.3,2.26
"RTWT",210,0.01,0.17,253.7,210,41.75
"SHTWT",184.7,0.01,0.17,269.2,184.7,58.58
