"Location","Trait","NDVI_Time","R2","RMSE","MAE"
"Mokwa","PLTHT3","NDVI3",0.01,22.24,17.73
"Mokwa","PLTHT3","NDVI6",0,24.7,20.71
"Mokwa","PLTHT3","NDVI9",0.01,27.54,22.55
"Mokwa","PLTHT6","NDVI3",0.01,23.2,16.14
"Mokwa","PLTHT6","NDVI6",0.05,23.8,19.19
"Mokwa","PLTHT6","NDVI9",0.21,23.53,18.5
"Mokwa","PLTHT9","NDVI3",0.02,27.88,20.1
"Mokwa","PLTHT9","NDVI6",0.02,23.31,19.07
"Mokwa","PLTHT9","NDVI9",0.33,26.11,21.59
"Mokwa","FYLD","NDVI3",0.21,8.81,7.46
"Mokwa","FYLD","NDVI6",0.04,10.68,8.9
"Mokwa","FYLD","NDVI9",0.3,9.22,7.7
"Mokwa","DYLD","NDVI3",0.2,2.59,1.82
"Mokwa","DYLD","NDVI6",0,4.17,3.44
"Mokwa","DYLD","NDVI9",0.03,3.49,2.81
"Mokwa","RTWT","NDVI3",0.35,7.39,5.19
"Mokwa","RTWT","NDVI6",0,9.66,7.27
"Mokwa","RTWT","NDVI9",0.09,6.92,5.03
"Mokwa","STARCH","NDVI3",0.13,5.04,4.3
"Mokwa","STARCH","NDVI6",0.03,4.52,3.69
"Mokwa","STARCH","NDVI9",0.03,4.32,3.6
"Mokwa","DM","NDVI3",0.01,3.14,2.84
"Mokwa","DM","NDVI6",0.06,2.77,2.37
"Mokwa","DM","NDVI9",0.3,3.37,2.78
"Mokwa","SHTWT","NDVI3",0,9.7,7.6
"Mokwa","SHTWT","NDVI6",0,10.32,6.41
"Mokwa","SHTWT","NDVI9",0,13.62,11.4
"Mokwa","HI","NDVI3",0.15,0.08,0.07
"Mokwa","HI","NDVI6",0,0.1,0.07
"Mokwa","HI","NDVI9",0.15,0.11,0.08
"Mokwa","LODG","NDVI3",0.16,1.28,1.15
"Mokwa","LODG","NDVI6",0.35,1.25,1.14
"Mokwa","LODG","NDVI9",0.15,1.21,1.05
"Mokwa","STMDI","NDVI3",0.24,3.27,2.82
"Mokwa","STMDI","NDVI6",0.14,3.27,2.74
"Mokwa","STMDI","NDVI9",0.02,3.22,2.54
"Mokwa","ANGBR","NDVI3",0.01,30.62,20.69
"Mokwa","ANGBR","NDVI6",0,32.65,24.55
"Mokwa","ANGBR","NDVI9",0.11,32.43,23.84
