,,Phenotypic Correlations,,,,Probabilities
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: LODG,Ikenne,0.454470274032201,,,0,
,onne,0.256292608060167,0.428148325155336,,0.0000000315731396582919,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: BRNLEV9,Ikenne,0.66499150365282,,,0,
,onne,0.0144143843394063,-0.0757892900297532,,0.759634274519434,0.107191776130142
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: PLTHT9,Ikenne,0.61294330561681,,,0,
,onne,0.503399504348531,0.56618421723769,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: NOHAV,Ikenne,0.164136964883006,,,0.000452128998354784,
,onne,0.303119164053891,0.292268972503769,,0.0000000000441731096145759,0.000000000226191954055821
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: RTNO,Ikenne,0.361201125544403,,,0.00000000000000222044604925031,
,onne,0.362066377418649,0.410941878079495,,0.00000000000000177635683940025,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: STARCH,Ikenne,0.411554715085853,,,0,
,onne,0.422125776129149,0.486566844785197,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: BRNHB9,Ikenne,0.513646495369371,,,0,
,onne,0.469505994504178,0.428183391535936,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: ANGBR9,Ikenne,0.452075683626626,,,0,
,onne,0.376535694590838,0.353954301933587,,0,0.00000000000000799360577730113
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: STMDI9,Ikenne,0.479454287820507,,,0,
,onne,0.458328178955499,0.441085254238478,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: PPSTD9,Ikenne,0.351939823037558,,,0.0000000000000117683640610267,
,onne,0.318820521519022,0.404403278337563,,0.00000000000367572638992897,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: SHTWT,Ikenne,0.320544448263573,,,0.00000000000277244893709394,
,onne,0.349173327310274,0.448174716438081,,0.0000000000000195399252334028,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: RTWT,Ikenne,0.372913958716517,,,0.000000000000000222044604925031,
,onne,0.384241007812382,0.427390079940845,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: BRNHT9,Ikenne,0.740492834664567,,,0,
,onne,0.556317852304997,0.621441345837935,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: PLTHT6,Ikenne,0.587543815396609,,,0,
,onne,0.546465205606144,0.671344952922006,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: FYLD,Ikenne,0.372911425859696,,,0.000000000000000222044604925031,
,onne,0.384235578658293,0.427395645633555,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: DYLD,Ikenne,0.354261551045526,,,0.00000000000000754951656745106,
,onne,0.27525443278519,0.40883989997394,,0.0000000025574731221667,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: TYLD,Ikenne,0.320486808418554,,,0.00000000000279865020047509,
,onne,0.349166118363037,0.44813023970847,,0.0000000000000195399252334028,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: HI,Ikenne,0.474274791250699,,,0,
,onne,0.482523817652835,0.479010840304565,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: DM,Ikenne,0.435447154177761,,,0,
,onne,0.422176294435808,0.481985382299834,,0,0
,,,,,,
,Env,mokwa,Ikenne,,mokwa,Ikenne
Trait: BRNHT6,Ikenne,0.715642022235524,,,0,
,onne,0.302331789357633,0.255348909540205,,0.0000000000498463492704104,0.000000035597759406869
,,,,,,
