trait,Environment,PC1,PC2,PC3
,,,,
LODG,mokwa,1,-0.0393412120848581,1
LODG,Ikenne,0.299010980529173,1,-0.21992606300799
LODG,onne,-0.967310720801985,0.268445043417927,0.965811369775261
,,,,
BRNLEV9,mokwa,0.977543673009884,-1,0.171970555726192
BRNLEV9,Ikenne,0.993149417532332,0.627882593730335,0.837629521419706
BRNLEV9,onne,-1,-0.353962440767913,1
,,,,
PLTHT9,mokwa,0.915130299722614,-0.83313590336212,0.667971794897774
PLTHT9,Ikenne,0.874368126520548,1,0.444571067195474
PLTHT9,onne,-1,0.1119402175671,1
,,,,
NOHAV,mokwa,0.876640164558311,0.538590933376214,-0.884827769461982
NOHAV,Ikenne,-1,0.024035159092888,-1
NOHAV,onne,0.44811528537165,-1,-0.50059537332461
,,,,
RTNO,mokwa,-0.28298764267033,-1,0.789368354155182
RTNO,Ikenne,1,0.221782404887907,1
RTNO,onne,-0.831064706315878,0.607377552821237,0.934486213115496
,,,,
STARCH,mokwa,1,-0.0462942104790484,-1
STARCH,Ikenne,-0.554226071437029,1,-0.764468131717937
STARCH,onne,-0.69418910290893,-0.865067284115607,-0.830194291734321
,,,,
BRNHB9,mokwa,0.405415362408996,-1,0.584050180461366
BRNHB9,Ikenne,0.857779279654084,0.566205266658182,0.8897592918437
BRNHB9,onne,-1,0.0802637833614082,1
,,,,
ANGBR9,mokwa,0.668845269047894,-1,0.703159534596128
ANGBR9,Ikenne,0.713584027125081,0.942384558748207,0.742302310259829
ANGBR9,onne,-1,0.00362529948414452,1
,,,,
STMDI9,mokwa,0.657240789394101,-1,0.530099461047413
STMDI9,Ikenne,0.832817024041494,0.735095887850117,0.782401167307725
STMDI9,onne,-1,-0.0450404196896263,1
,,,,
PPSTD9,mokwa,0.888766118838997,0.524564360318265,-0.882741551994021
PPSTD9,Ikenne,-0.485524314733406,1,0.443745473416015
PPSTD9,onne,-1,-0.0193092841320813,-1
,,,,
SHTWT,mokwa,1,0.0221619658424357,1
SHTWT,Ikenne,-0.700038457130397,1,0.603712317057406
SHTWT,onne,-0.790791348751706,-0.857212831624948,0.730127058076608
,,,,
RTWT,mokwa,0.852376071106942,0.591696177272919,0.965352964204097
RTWT,Ikenne,-1,0.301302944522036,1
RTWT,onne,0.203044718350851,-1,0.872498603160681
,,,,
BRNHT9,mokwa,0.996906797987825,-0.487625760635526,0.975906159284968
BRNHT9,Ikenne,0.932932824190695,1,0.0290615946910714
BRNHT9,onne,-1,0.446815388539155,1
,,,,
PLTHT6,mokwa,0.856134574536009,-0.643505843320822,-0.82820926979543
PLTHT6,Ikenne,0.594481315533495,1,-0.489403790455242
PLTHT6,onne,-1,0.0435537141505887,-1
,,,,
FYLD,mokwa,0.8529252083381,0.591094910124726,0.965518859243769
FYLD,Ikenne,-1,0.301914795081501,1
FYLD,onne,0.202244954284221,-1,0.872628078409925
,,,,
DYLD,mokwa,1,-0.238780218152053,1
DYLD,Ikenne,-0.138037679503199,1,0.623927607162261
DYLD,onne,-0.945574076417778,-0.398507009712864,0.966475820055758
,,,,
TYLD,mokwa,1,0.0218364885810451,1
TYLD,Ikenne,-0.700139298910907,1,0.604611105812863
TYLD,onne,-0.79020521979949,-0.858388167192793,0.729795235228597
,,,,
HI,mokwa,0.824734479128809,0.615827864873113,-0.926191758147911
HI,Ikenne,-1,0.202273007545122,-1
HI,onne,0.305621465824012,-1,-0.772647700428425
,,,,
DM,mokwa,1,-0.184631246615214,1
DM,Ikenne,-0.333582513967821,1,0.773497795898915
DM,onne,-0.80805433601601,-0.641310537528961,0.918223722867035
,,,,
BRNHT6,mokwa,0.980419788320167,-1,-0.258822585322842
BRNHT6,Ikenne,0.990962938905641,0.710569247522565,-0.753050579781933
BRNHT6,onne,-1,-0.276271998499237,-1
