"Trait","N","Vg","Vge","Ve","Vg_percent","Vge_percent","Ve_percent","H2"
"NOHAV",1914,1.0586,1.007,3.0329,20.76,19.75,59.49,0.3803
"RTNO",1914,132.9214,91.7389,272.6613,26.73,18.45,54.83,0.4596
"SHTWT",1914,26.9925,18.56,58.6226,25.91,17.82,56.27,0.4542
"RTWT",1914,25.4446,21.0565,41.713,28.84,23.87,47.29,0.4514
"DM",1806,3.048,2.7306,2.2648,37.89,33.95,28.16,0.4802
"STARCH",1806,5.4046,4.8436,4.0157,37.89,33.96,28.15,0.4802
"FYLD",1914,34.0311,24.2946,56.0011,29.77,21.25,48.98,0.4754
"DYLD",1806,2.531,2.9723,6.0713,21.87,25.68,52.45,0.3602
"TYLD",1914,35.7128,24.7251,86.6497,24.28,16.81,58.91,0.4412
"HI",1914,0.0048,0.0021,0.0049,40.41,17.99,41.59,0.5921
"NDVI3",1929,0.0004,0,0.0012,22.65,2.63,74.72,0.5288
"NDVI6",1931,0.0003,0,0.0346,0.75,0,99.25,0.0312
"NDVI9",1928,0.0001,0.0009,0.0029,3.31,23.57,73.12,0.0751
"LODG",1430,0.6243,0.2643,1.9845,21.73,9.2,69.07,0.4115
"PLTHTIII",1714,207.0344,38.5961,316.4279,36.84,6.87,56.3,0.6288
"BRNHTIII",576,304.659,10.2287,153.9815,64.98,2.18,32.84,0.6988
"BRNLEVIII",576,0.0116,0.0771,0.172,4.46,29.57,65.96,0.0519
"PLTHTVI",1668,351.6585,86.1568,325.4863,46.07,11.29,42.64,0.6683
"BRNHTVI",930,122.5201,321.4951,165.7803,20.09,52.72,27.19,0.2335
"BRNLEVVI",925,0.1222,0.1353,0.1938,27.09,29.97,42.94,0.3469
"PLTHTIX",1607,420.5403,131.032,436.7271,42.55,13.26,44.19,0.6233
"BRNHTIX",1106,469.4264,206.7711,242.341,51.11,22.51,26.38,0.6054
"BRNLEVIX",1105,0.0232,0.2401,0.1535,5.56,57.61,36.83,0.071
"CHL3",1861,4.6063,0.5289,3.6456,52.46,6.02,41.52,0.7648
"CHL6",1859,2.9519,1.1562,4.4929,34.32,13.44,52.24,0.5674
"CHL9",1843,5.087,5.9876,6.9759,28.18,33.17,38.65,0.3978
"CHL12",1830,5.5175,1.4154,6.0483,42.5,10.9,46.59,0.6545
"ANGBR9",1608,492.8213,200.3255,194.5066,55.52,22.57,21.91,0.6589
"STMDI9",1622,6.4217,3.0879,7.1662,38.51,18.52,42.97,0.5579
"PPSTD9",1812,0.1009,0.0415,0.3061,22.49,9.26,68.25,0.4608
