Trait,sigma2_g,sigma2_ge,sigma2_e,H2
NDVI3,3.351654158699213e-4,7.027611325174368e-5,0.0015362609179566278,0.444299206724788
NDVI6,2.5234529832943956e-4,8.637583741121796e-12,0.03512188039902846,0.027936505628382773
NDVI9,1.1604577870172127e-4,9.09246393212464e-4,0.003102345748892141,0.08619893195716316
HI,0.004855642617328931,0.0021343825438955863,0.005295556040283713,0.6700466796882816
LODG,0.6279926183759581,0.2587247161215778,2.0013067814614947,0.49932557057630744
ANGBR9,496.7242877425872,200.43578695873674,202.80455010754903,0.7669719942486085
TYLD,35.81482748180501,24.413161446195712,88.53833220798785,0.5105027644846032
DYLD,2.610772338914213,2.937296926202412,6.509775743380379,0.4574792743191919
FYLD,35.157714932032896,23.838740615303163,60.09594606731217,0.5661370075846704
STARCH,5.418152263582396,4.829964534088457,4.174230433912097,0.6103796525412563
DM,3.0555770841162597,2.7229508229428214,2.3542978167317985,0.6104284467815325
RTWT,26.250150160887106,21.11882527589839,44.67028109227909,0.5471387821682572
SHTWT,27.065260998328906,18.293760106041884,59.71629412327384,0.5292260111429951
